Stimuli Number	Event Number	Weighted Average Frequency (Hz)	Log2Scaled WAFrequency	RMSPower (dB)	RMSPower (B)	Angle	Chunk Duration (s)
24	5	379.987172	8.569806905	-26.67328673	-2.667328673	51.25	1.2
25	1	1051.107583	10.03769462	-34.142516	-3.4142516	341.21	1.2
25	2	1051.810445	10.03865901	-34.40874327	-3.440874327	272.07	1.2
25	3	1051.770641	10.03860442	-36.35478056	-3.635478056	269.98	1.2
25	4	1051.335301	10.03800714	-34.12334446	-3.412334446	90.15	1.2
25	5	1051.322257	10.03798924	-36.87283731	-3.687283731	270	1.2
26	1	393.6488584	8.620765484	-27.98252659	-2.798252659	342.02	1.2
26	2	397.6330765	8.63529396	-28.86871405	-2.886871405	279.31	1.2
26	3	394.8226694	8.625061017	-29.16355417	-2.916355417	250.86	1.2
26	4	395.7485018	8.628440079	-28.19041248	-2.819041248	88.01	1.2
26	5	397.9113096	8.636303094	-30.14759405	-3.014759405	272.3	1.2
27	1	2097.650817	11.03455883	-32.2725636	-3.22725636	343.7	1.2
27	2	2097.09162	11.03417418	-32.42372391	-3.242372391	268.54	1.2
27	3	2096.962882	11.03408561	-35.15621707	-3.515621707	269.98	1.2
27	4	2097.095034	11.03417653	-32.35174649	-3.235174649	89.98	1.2
27	5	2096.853931	11.03401065	-35.30617324	-3.530617324	269.97	1.2
28	1	398.9078986	8.63991188	-31.14816865	-3.114816865	340.18	1.2
28	2	394.8893755	8.625304742	-31.60197634	-3.160197634	252.16	1.2
28	3	399.0169932	8.640306378	-31.97135149	-3.197135149	292.1	1.2
28	4	397.9944197	8.636604393	-31.18587284	-3.118587284	92.7	1.2
28	5	396.4127023	8.630859382	-32.58299691	-3.258299691	267.65	1.2
29	1	1965.19843	10.94045928	-42.1939757	-4.21939757	338.91	1.2
29	2	1995.44566	10.96249528	-42.45495715	-4.245495715	310.18	1.2
29	3	1902.387142	10.89359515	-44.62539399	-4.462539399	252.39	1.2
29	4	1978.30069	10.95004601	-42.29341786	-4.229341786	76.39	1.2
29	5	1933.137208	10.91672832	-44.95020854	-4.495020854	262.85	1.2
30	1	569.5754018	9.153743032	-32.15089794	-3.215089794	340.65	1.2
30	2	573.6939608	9.164137521	-33.25975724	-3.325975724	275.36	1.2
30	3	566.8955858	9.146939225	-34.05876529	-3.405876529	257.85	1.2
30	4	572.0392583	9.15997035	-32.77513723	-3.277513723	84.2	1.2
30	5	568.6861465	9.15148885	-34.78674813	-3.478674813	267.59	1.2
31	1	389.3846655	8.60505226	-34.91302122	-3.491302122	337.92	1.2
31	2	385.7555623	8.591543149	-34.71890523	-3.471890523	124.84	1.2
31	3	383.0485373	8.581383402	-34.90126461	-3.490126461	240.88	1.2
31	4	385.0236909	8.588803409	-33.88429947	-3.388429947	85.83	1.2
31	5	383.3774586	8.582621703	-35.92809464	-3.592809464	268.27	1.2
32	1	3777.545738	11.88323351	-48.19635539	-4.819635539	337.92	1.2
32	2	3784.93536	11.88605295	-48.26157834	-4.826157834	293.38	1.2
32	3	3762.278313	11.87739086	-51.07739352	-5.107739352	268.24	1.2
32	4	3777.657959	11.88327637	-48.19725371	-4.819725371	88.83	1.2
32	5	3776.222868	11.8827282	-51.20327495	-5.120327495	269.9	1.2
33	1	783.2404649	9.613311491	-30.01824986	-3.001824986	342.66	1.2
33	2	796.3068787	9.63718071	-27.85717784	-2.785717784	83.7	1.2
33	3	784.4762011	9.61558587	-28.88922868	-2.888922868	258.18	1.2
33	4	797.9399306	9.640136333	-28.67575838	-2.867575838	41.01	1.2
33	5	792.7356095	9.630695973	-27.69099164	-2.769099164	95.48	1.2
34	1	845.6299312	9.723882632	-30.15096787	-3.015096787	342.77	1.2
34	2	865.0164402	9.756583742	-30.24927074	-3.024927074	343.27	1.2
34	3	863.4317652	9.75393836	-29.55247014	-2.955247014	92.17	1.2
34	4	837.0001842	9.70908413	-30.4923542	-3.04923542	244.49	1.2
34	5	875.7876858	9.774437354	-29.64875642	-2.964875642	52.24	1.2
35	1	1423.92062	10.47565301	-32.25829418	-3.225829418	342.88	1.2
35	2	1307.32718	10.35240453	-30.84877252	-3.084877252	131.17	1.2
35	3	1404.022125	10.45534995	-31.28234545	-3.128234545	337.16	1.2
35	4	1329.271054	10.3764196	-31.56605699	-3.156605699	199.77	1.2
35	5	1337.547431	10.38537434	-30.53947586	-3.053947586	85.01	1.2
36	1	2229.866037	11.12274133	-23.09662558	-2.309662558	348.27	1.2
36	2	2229.434145	11.12246187	-22.99485505	-2.299485505	91.57	1.2
36	3	2230.084782	11.12288284	-22.5585884	-2.25585884	89.45	1.2
36	4	2229.595381	11.1225662	-23.38172842	-2.338172842	269.78	1.2
36	5	2228.640869	11.12194844	-22.31086338	-2.231086338	90.33	1.2
