1	 2.556803e+00	 24
2	 1.055669e+01	 24
3	 1.077177e+01	 24
4	 1.678994e+01	 24
9	 1.793994e+01	 24
9	 1.996385e+01	 24
9	 2.253194e+01	 24
9	 2.503584e+01	 24
5	 2.687346e+01	 24
6	 2.907344e+01	 24
1	 3.617304e+01	 12
2	 4.417299e+01	 12
3	 4.437392e+01	 12
4	 5.038954e+01	 12
9	 5.195636e+01	 12
9	 5.379172e+01	 12
9	 5.609201e+01	 12
9	 5.877998e+01	 12
5	 6.082277e+01	 12
6	 6.303971e+01	 12
1	 7.097263e+01	 34
2	 7.897259e+01	 34
3	 7.942211e+01	 34
4	 8.543912e+01	 34
9	 8.617184e+01	 34
9	 8.804060e+01	 34
9	 8.990813e+01	 34
9	 9.170792e+01	 34
5	 9.357237e+01	 34
6	 9.558918e+01	 34
1	 1.009889e+02	 2
2	 1.089889e+02	 2
3	 1.091826e+02	 2
4	 1.152054e+02	 2
9	 1.162840e+02	 2
9	 1.190440e+02	 2
9	 1.217878e+02	 2
9	 1.245000e+02	 2
5	 1.263553e+02	 2
6	 1.285722e+02	 2
1	 1.345720e+02	 26
2	 1.425719e+02	 26
3	 1.427661e+02	 26
4	 1.487884e+02	 26
9	 1.496841e+02	 26
9	 1.515907e+02	 26
9	 1.535399e+02	 26
9	 1.554440e+02	 26
5	 1.572884e+02	 26
6	 1.593056e+02	 26
1	 1.657715e+02	 6
2	 1.737718e+02	 6
3	 1.739866e+02	 6
4	 1.800213e+02	 6
9	 1.815804e+02	 6
9	 1.837324e+02	 6
9	 1.862600e+02	 6
9	 1.891480e+02	 6
5	 1.909381e+02	 6
6	 1.931381e+02	 6
1	 2.005877e+02	 8
2	 2.085877e+02	 8
3	 2.087825e+02	 8
4	 2.148042e+02	 8
9	 2.163560e+02	 8
9	 2.184918e+02	 8
9	 2.212439e+02	 8
9	 2.240680e+02	 8
5	 2.258708e+02	 8
6	 2.280876e+02	 8
1	 2.341707e+02	 35
2	 2.421706e+02	 35
3	 2.423845e+02	 35
4	 2.484038e+02	 35
9	 2.498518e+02	 35
9	 2.517053e+02	 35
9	 2.536601e+02	 35
9	 2.554879e+02	 35
5	 2.572871e+02	 35
6	 2.593038e+02	 35
1	 2.653703e+02	 18
2	 2.733702e+02	 18
3	 2.735640e+02	 18
4	 2.795701e+02	 18
9	 2.807559e+02	 18
9	 2.826383e+02	 18
9	 2.852280e+02	 18
9	 2.882839e+02	 18
5	 2.902200e+02	 18
6	 2.924369e+02	 18
1	 3.001533e+02	 13
2	 3.081532e+02	 13
3	 3.083510e+02	 13
4	 3.143697e+02	 13
9	 3.158760e+02	 13
9	 3.177159e+02	 13
9	 3.204680e+02	 13
9	 3.229879e+02	 13
5	 3.248863e+02	 13
6	 3.270866e+02	 13
1	 3.325696e+02	 7
2	 3.405694e+02	 7
3	 3.407834e+02	 7
4	 3.468026e+02	 7
9	 3.477960e+02	 7
9	 3.504838e+02	 7
9	 3.533720e+02	 7
9	 3.575720e+02	 7
5	 3.593858e+02	 7
6	 3.616026e+02	 7
1	 3.673858e+02	 3
2	 3.753861e+02	 3
3	 3.755987e+02	 3
4	 3.816189e+02	 3
9	 3.832841e+02	 3
9	 3.851319e+02	 3
9	 3.880841e+02	 3
9	 3.909479e+02	 3
5	 3.928188e+02	 3
6	 3.950356e+02	 3
1	 4.025854e+02	 16
2	 4.105853e+02	 16
3	 4.107780e+02	 16
4	 4.167852e+02	 16
9	 4.180680e+02	 16
9	 4.199033e+02	 16
9	 4.225959e+02	 16
9	 4.254198e+02	 16
5	 4.272350e+02	 16
6	 4.294353e+02	 16
1	 4.357849e+02	 14
2	 4.437849e+02	 14
3	 4.439750e+02	 14
4	 4.499848e+02	 14
9	 4.513158e+02	 14
9	 4.531017e+02	 14
9	 4.556839e+02	 14
9	 4.585161e+02	 14
5	 4.603513e+02	 14
6	 4.625681e+02	 14
1	 4.693846e+02	 20
2	 4.773845e+02	 20
3	 4.775784e+02	 20
4	 4.836012e+02	 20
9	 4.849399e+02	 20
9	 4.869321e+02	 20
9	 4.894518e+02	 20
9	 4.924200e+02	 20
5	 4.941676e+02	 20
6	 4.963676e+02	 20
1	 5.029675e+02	 19
2	 5.109674e+02	 19
3	 5.111599e+02	 19
4	 5.171673e+02	 19
9	 5.188120e+02	 19
9	 5.211881e+02	 19
9	 5.239241e+02	 19
9	 5.265642e+02	 19
5	 5.283838e+02	 19
6	 5.306006e+02	 19
1	 5.365836e+02	 29
2	 5.445837e+02	 29
3	 5.447961e+02	 29
4	 5.508169e+02	 29
9	 5.517639e+02	 29
9	 5.535849e+02	 29
9	 5.556042e+02	 29
9	 5.575401e+02	 29
5	 5.593502e+02	 29
6	 5.613668e+02	 29
1	 5.680667e+02	 15
2	 5.760666e+02	 15
3	 5.762581e+02	 15
4	 5.822665e+02	 15
9	 5.834119e+02	 15
9	 5.854440e+02	 15
9	 5.880919e+02	 15
9	 5.905319e+02	 15
5	 5.923831e+02	 15
6	 5.945832e+02	 15
10	 5.998050e+02	 0
