eventcode	 time	 stimulusID
1	 3.714924e+00	 34
2	 1.171476e+01	 34
3	 1.191262e+01	 34
4	 1.793130e+01	 34
9	 2.337332e+01	 34
9	 2.526691e+01	 34
5	 2.994781e+01	 34
6	 3.196460e+01	 34
1	 3.733107e+01	 29
2	 4.533100e+01	 29
3	 4.552739e+01	 29
4	 5.154756e+01	 29
9	 5.481277e+01	 29
9	 5.709270e+01	 29
9	 5.927709e+01	 29
9	 6.115683e+01	 29
5	 6.309742e+01	 29
6	 6.511419e+01	 29
1	 7.214731e+01	 10
2	 8.014725e+01	 10
3	 8.033757e+01	 10
4	 8.636388e+01	 10
9	 8.944477e+01	 10
9	 9.164488e+01	 10
9	 9.454079e+01	 10
9	 9.745258e+01	 10
5	 9.934698e+01	 10
6	 1.015471e+02	 10
1	 1.069469e+02	 3
2	 1.149468e+02	 3
3	 1.151589e+02	 3
4	 1.211800e+02	 3
9	 1.225566e+02	 3
9	 1.247166e+02	 3
9	 1.280048e+02	 3
9	 1.312127e+02	 3
5	 1.330799e+02	 3
6	 1.352967e+02	 3
1	 1.429465e+02	 23
2	 1.509465e+02	 23
3	 1.511456e+02	 23
4	 1.571630e+02	 23
9	 1.584286e+02	 23
9	 1.605966e+02	 23
9	 1.634447e+02	 23
9	 1.663406e+02	 23
5	 1.681795e+02	 23
6	 1.704131e+02	 23
1	 1.765460e+02	 4
2	 1.845460e+02	 4
3	 1.847391e+02	 4
4	 1.907458e+02	 4
9	 1.922847e+02	 4
9	 1.960527e+02	 4
9	 1.987169e+02	 4
9	 2.009248e+02	 4
5	 2.028623e+02	 4
6	 2.050792e+02	 4
1	 2.101289e+02	 27
2	 2.181289e+02	 27
3	 2.183233e+02	 27
4	 2.243454e+02	 27
9	 2.260768e+02	 27
9	 2.282529e+02	 27
9	 2.301135e+02	 27
9	 2.318609e+02	 27
5	 2.336953e+02	 27
6	 2.357120e+02	 27
1	 2.437285e+02	 15
2	 2.517284e+02	 15
3	 2.519263e+02	 15
4	 2.579450e+02	 15
9	 2.597088e+02	 15
9	 2.635008e+02	 15
9	 2.664608e+02	 15
5	 2.699615e+02	 15
6	 2.719782e+02	 15
1	 2.797280e+02	 20
2	 2.877280e+02	 20
3	 2.879214e+02	 20
4	 2.939445e+02	 20
9	 2.955967e+02	 20
9	 2.975130e+02	 20
9	 3.003969e+02	 20
9	 3.031727e+02	 20
5	 3.049777e+02	 20
6	 3.071611e+02	 20
1	 3.133443e+02	 21
2	 3.213442e+02	 21
3	 3.215376e+02	 21
4	 3.275607e+02	 21
9	 3.290446e+02	 21
9	 3.310447e+02	 21
9	 3.337408e+02	 21
9	 3.360688e+02	 21
5	 3.379273e+02	 21
6	 3.401442e+02	 21
1	 3.481272e+02	 24
2	 3.561271e+02	 24
3	 3.563282e+02	 24
4	 3.623437e+02	 24
9	 3.632287e+02	 24
9	 3.661728e+02	 24
9	 3.689328e+02	 24
9	 3.709407e+02	 24
5	 3.729438e+02	 24
6	 3.751436e+02	 24
1	 3.829434e+02	 5
2	 3.909434e+02	 5
3	 3.911385e+02	 5
4	 3.971599e+02	 5
9	 3.985648e+02	 5
9	 4.006929e+02	 5
9	 4.035967e+02	 5
9	 4.061086e+02	 5
5	 4.080931e+02	 5
6	 4.102932e+02	 5
1	 4.165264e+02	 33
2	 4.245266e+02	 33
3	 4.247265e+02	 33
4	 4.307428e+02	 33
9	 4.320687e+02	 33
9	 4.339276e+02	 33
9	 4.356602e+02	 33
9	 4.375100e+02	 33
5	 4.394427e+02	 33
6	 4.414595e+02	 33
1	 4.490426e+02	 16
2	 4.570426e+02	 16
3	 4.572334e+02	 16
4	 4.632424e+02	 16
9	 4.644367e+02	 16
9	 4.663968e+02	 16
9	 4.690687e+02	 16
9	 4.719887e+02	 16
5	 4.738423e+02	 16
6	 4.760590e+02	 16
1	 4.813256e+02	 18
2	 4.893255e+02	 18
3	 4.895218e+02	 18
4	 4.955421e+02	 18
9	 4.969406e+02	 18
9	 4.989967e+02	 18
9	 5.016046e+02	 18
9	 5.036687e+02	 18
5	 5.056253e+02	 18
6	 5.078254e+02	 18
1	 5.152752e+02	 6
2	 5.232751e+02	 6
3	 5.234666e+02	 6
4	 5.294750e+02	 6
9	 5.335327e+02	 6
9	 5.353421e+02	 6
9	 5.371597e+02	 6
9	 5.394687e+02	 6
5	 5.416248e+02	 6
6	 5.438249e+02	 6
1	 5.509413e+02	 19
2	 5.589413e+02	 19
3	 5.591353e+02	 19
4	 5.651579e+02	 19
9	 5.661969e+02	 19
9	 5.684927e+02	 19
9	 5.714208e+02	 19
9	 5.742768e+02	 19
5	 5.760910e+02	 19
6	 5.782912e+02	 19
1	 5.833243e+02	 8
2	 5.913242e+02	 8
3	 5.915143e+02	 8
4	 5.975241e+02	 8
9	 5.992127e+02	 8
9	 6.013007e+02	 8
9	 6.042928e+02	 8
9	 6.071487e+02	 8
5	 6.089740e+02	 8
6	 6.111743e+02	 8
10	 6.154006e+02	 0
