Stimuli Number	Event Number	Dominant_Frequency_Hz	Log2Scaled_DomFrequency	DomPower_dB	DomPower_B	Angle
31	3	369.1666667	8.528128483	-36.94181655	-3.694181655	90
31	4	369.1666667	8.528128483	-36.33032554	-3.633032554	90
31	5	369.1666667	8.528128483	-38.29145442	-3.829145442	270
32	1	3135.833333	11.61463317	-57.26501469	-5.726501469	333.75
32	2	3135.833333	11.61463317	-58.24007978	-5.824007978	270
32	3	3135.833333	11.61463317	-62.00641534	-6.200641534	270
32	4	3135.833333	11.61463317	-57.29973132	-5.729973132	90
32	5	3135	11.61424973	-62.54211595	-6.254211595	269.96
33	1	786.6666667	9.619608644	-35.81794642	-3.581794642	339.58
33	2	786.6666667	9.619608644	-31.46761266	-3.146761266	90
33	3	786.6666667	9.619608644	-33.45555966	-3.345555966	270
33	4	786.6666667	9.619608644	-33.30445632	-3.330445632	90
33	5	786.6666667	9.619608644	-31.2462404	-3.12462404	90
34	1	588.3333333	9.200489967	-36.75355687	-3.675355687	338.22
34	2	588.3333333	9.200489967	-35.80866687	-3.580866687	90
34	3	588.3333333	9.200489967	-35.73822353	-3.573822353	90
34	4	588.3333333	9.200489967	-36.46651064	-3.646651064	270
34	5	588.3333333	9.200489967	-34.91924554	-3.491924554	90
35	1	1048.333333	10.0338818	-38.4687893	-3.84687893	339.02
35	2	1048.333333	10.0338818	-37.01577967	-3.701577967	90
35	3	1048.333333	10.0338818	-37.9306574	-3.79306574	270
35	4	1048.333333	10.0338818	-38.5469299	-3.85469299	270
35	5	1048.333333	10.0338818	-36.95861053	-3.695861053	90
36	1	2224.166667	11.11904918	-32.18925676	-3.218925676	343.85
36	2	2218.333333	11.11526045	-31.26003368	-3.126003368	92.33
36	3	2226.666667	11.12066989	-31.24345089	-3.124345089	17.04
36	4	2218.333333	11.11526045	-31.45913382	-3.145913382	255.92
36	5	2218.333333	11.11526045	-29.98100942	-2.998100942	90
